AAU0151;COMERCIALES
ABC9690;COMERCIALES
BBI0792;COMERCIALES
G03256780;COMERCIALES
HBC7530;COMERCIALES
HBC7559;COMERCIALES
HCD0696;COMERCIALES
JAA2998;COMERCIALES
KAA1851;COMERCIALES
OCJ0556;COMERCIALES
PAA8466;COMERCIALES
PAA9970;COMERCIALES
PAB2496;COMERCIALES
PAB3063;COMERCIALES
PAB3197;COMERCIALES
PAB3347;COMERCIALES
PAB5471;COMERCIALES
PAB7209;COMERCIALES
PAB8451;COMERCIALES
PAB9180;COMERCIALES
PAB9426;COMERCIALES
PAC3733;COMERCIALES
PAC4940;COMERCIALES
PAE1357;COMERCIALES
PBF9827;COMERCIALES
PBG2345;COMERCIALES
PBQ3357/520;COMERCIALES
PBQ5306;COMERCIALES
PBT5021/506;COMERCIALES
PBT6261;COMERCIALES
PBX1015;COMERCIALES
PCJ3364;COMERCIALES
PCL4141/549;COMERCIALES
PCQ3813;COMERCIALES
PCQ7823;COMERCIALES
PDP3741;COMERCIALES
PDQ5169;COMERCIALES
PDZ3397;COMERCIALES
PFF9896;COMERCIALES
PFG3535;COMERCIALES
PFH7077;COMERCIALES
PZN0632;COMERCIALES
TBF2031;COMERCIALES
TBK3045;COMERCIALES
XAA2391;COMERCIALES
PAE1820 (106/5077)..;INTRAEXPRESS
PAE1821 (99/5067)..;INTRAEXPRESS
PAE1822 (93/5058)..;INTRAEXPRESS
PAE1823 (91/5054)..;INTRAEXPRESS
PAE1824 (107/5079)..;INTRAEXPRESS
PAE1825 (108/5080)..;INTRAEXPRESS
PAE1826 (117/5091)..;INTRAEXPRESS
PAE1830 (103/5073)..;INTRAEXPRESS
PAE1832 (114/5087)..;INTRAEXPRESS
PAE1833 (113/5086)..;INTRAEXPRESS
PAE1835 (119/5093)..;INTRAEXPRESS
PAE1836 (102/5071)..;INTRAEXPRESS
PAE1843 (100/5068)..;INTRAEXPRESS
PAE1844 (105/5075)..;INTRAEXPRESS
PAE1845 (98/5065)..;INTRAEXPRESS
PAE3207 (111/5083)..;INTRAEXPRESS
PAE3208 (94/5059)..;INTRAEXPRESS
PAE3210 (118/5082)..;INTRAEXPRESS
PAE3234 (101/5072)..;INTRAEXPRESS
PAE3268 (115/5088)..;INTRAEXPRESS
PAE3319 (112/5085)..;INTRAEXPRESS
PAE3320 (90/5052)..;INTRAEXPRESS
PAE3346 (97/5064)..;INTRAEXPRESS
PAB3605 (08/8201);KINARA
PAB5294 (01/8208);KINARA
PAB5684 (14/3720);KINARA
PAC8795 (05/8209);KINARA
PAC8913 (04/8207);KINARA
PAC8964 (07/8202);KINARA
PAC9696 (13/3819);KINARA
PAC9697 (03/8203);KINARA
PAC9698 (10/3821);KINARA
PAC9699 (06/8206);KINARA
PAC9700 (09/8205);KINARA
PAC9701 (11/3818);KINARA
PAC9702 (12/3820);KINARA
PAC9998 (02/8204);KINARA
JAA1099 (23/1098);NACIONAL
PAA4857 (19/1106);NACIONAL
PAB0095 (30/1111);NACIONAL
PAB0733 (32/1075);NACIONAL
PAB1246 (03/1285);NACIONAL
PAB7355 (60/1109);NACIONAL
PAC2079 (35/1116);NACIONAL
PAC2168 (02/1072);NACIONAL
PAC2509 (24/1078);NACIONAL
PAC3108 (01/1082);NACIONAL
PAC3154 (11/1108);NACIONAL
PAC3343 (47/1104);NACIONAL
PAC3506 (76/1115);NACIONAL
PAC3507 (22/1074);NACIONAL
PAC4179 (12/1102);NACIONAL
PAC5235 (67/1093);NACIONAL
PAC5969 (56/1076);NACIONAL
PAC6120 (54/1077);NACIONAL
PAC8303 (51/1084);NACIONAL
PAU0059 (18/1087);NACIONAL
PAU0118 (84/1079);NACIONAL
PUA0453 (87/1107);NACIONAL
PUA0544 (39/1095);NACIONAL
PUB0233 (57/1089);NACIONAL
PUB0347 (31/1083);NACIONAL
PUB0908 (36/1081);NACIONAL
PUC0800 (50/1071);NACIONAL
PUD0216 (27/1099);NACIONAL
PUG0157 (09/1097);NACIONAL
PUG0707 (59/1090);NACIONAL
PUH0211 (62/1100);NACIONAL
PUJ0590 (08/1112);NACIONAL
PZO0079 (65/1101);NACIONAL
PZO0395 (20/1118);NACIONAL
PZU0526 (15/1110);NACIONAL
TAA1131 (80/1103);NACIONAL
ACG0794;PASAJEROS
JR322A;PASAJEROS
PBC8527;PASAJEROS
PBL3301;PASAJEROS
PBN4615;PASAJEROS
PCG7987;PASAJEROS
PCJ4338;PASAJEROS
PCK5943;PASAJEROS
PCN3186;PASAJEROS
PCW3287;PASAJEROS
PDB8953;PASAJEROS
PDD6849;PASAJEROS
PDF4728;PASAJEROS
PDF6869;PASAJEROS
PDH3343;PASAJEROS
PDR6809;PASAJEROS
PDS6303;PASAJEROS
PDS9298;PASAJEROS
PDT4371;PASAJEROS
PDT8711;PASAJEROS
PDU6192;PASAJEROS
PFD3893;PASAJEROS
PFF7098;PASAJEROS
PFM7309;PASAJEROS
CAMARA_HOWEN;PRECISOGPS
JS476T;PRECISOGPS
JV080Y;PRECISOGPS
LBN0264;PRECISOGPS
PDZ7990;PRECISOGPS
